CoRoT-25 b,0.27,1.08,4.86069,0.0578,,84.5,,2012,5/21/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-25,280.6292,6.5139,15,1000,-0.01,1.09,1.19,G0V,5.2,6040
CoRoT-26 b,0.52,1.26,4.20474,0.0526,0,86.8,,2012,5/27/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-26,279.75,6.97,15.76,1670,0.01,1.09,1.79,G8IV,8.6,5590
CoRoT-27 b,10.39,1.007,3.57532,0.0476,0.065,86.7,,2012,7/10/14,,,1500,,Published in a refereed paper,Primary Transit,,,,CoRoT-27,278.4958,5.5386,15.54,,0.1,1.05,1.08,G2,4.21,5900
CoRoT-28 b,0.484,0.955,5.20851,0.059,0.047,,,2012,8/17/15,126,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,CoRoT-28,278.6875,5.5739,13.49,560,0.15,1.01,1.78,G8/9IV,12,5150
CoRoT-29 b,0.85,0.9,2.85057,0.039,0.082,87.3,,2012,4/27/15,87,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,CoRoT-29,278.9042,6.4797,15.35,765,0.2,0.976,0.9,KOV,4.5,5260
CoRoT-3 b,21.77,1.01,4.2567994,0.057,0,85.9,8.40E-05,2008,7/8/13,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-3,292.0541667,0.1219444,13.3,680,0.14,1.41,1.44,F3V,2,6558
CoRoT-33 b,59,1.1,5.819143,0.0579,0.07,85.5,,2015,8/25/15,179.3,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,CoRoT-33,279.6416667,5.624722241,14.7,,0.44,0.86,0.94,G9V,4.6,5225
CoRoT-4 b,0.72,1.19,9.20205,0.09,0,90,,2008,6/5/13,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-4,102.1958333,-0.6727778,13.7,,0.05,1.1,1.15,F8V,1,6190
CoRoT-5 b,0.467,1.33,4.0378962,0.04947,0.09,85.83,0.000124,2008,5/22/14,231.7,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-5,101.2791667,0.8152778,14,400,-0.25,1,1.186,F9V,6.9,6100
CoRoT-6 b,2.96,1.166,8.886593,0.0855,0.1,89.07,,2009,6/5/13,,2454595.614,,,Published in a refereed paper,Primary Transit,,,,CoRoT-6,281.075,6.6633333,13.9,,-0.2,1.055,1.025,F9V,,6090
CoRoT-7 b,0.023345814,0.148987687,0.853585,0.0172,0,80.1,0.000115,2009,11/5/13,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-7,100.9541667,-1.0627778,11.7,150,0.03,0.93,0.87,K0V,1.5,5313
CoRoT-7 c,0.0264,,3.698,0.046,0,,0.000307,2009,10/15/10,,2454445,,,Published in a refereed paper,Radial Velocity,,,,CoRoT-7,100.9541667,-1.0627778,11.7,150,0.03,0.93,0.87,K0V,1.5,5313
CoRoT-8 b,0.215838656,0.569186492,6.21229,0.063,0,88.4,0.000166,2010,8/16/14,,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-8,291.5875,1.4266667,14.8,380,0.3,0.88,0.77,K1V,3,5080
CoRoT-9 b,0.84,0.94,95.273804,0.407,0.11,89.9,0.000885,2010,6/5/13,37,,,,Published in a refereed paper,Primary Transit,,,,CoRoT-9,280.7875,6.2041667,13.7,460,-0.01,0.99,0.94,G3V,4,5625
DE0823-49 b,31.5,,247.75,0.36,0.36,52.2,,2013,6/1/15,41.8,,,1670,Published in a refereed paper,Imaging,Astrometry,,,DE0823-49,125.7625,-48.79972222,,20.69,,0.045,,,0.1,2150
DH Tau b,11,,,330,,,,2005,3/8/11,,,,,Published in a refereed paper,Imaging,,,,DH Tau,67.425,26.5494444,13.71,,,0.37,,M0.5V,0.001,
DP Leo b,6.05,,10230,8.19,0.39,,,2009,11/18/10,282,,,,Published in a refereed paper,Pulsar,,,,DP Leo,169.3166667,17.9613889,17.5,,,0.69,,AM Her,,
EPIC 201445392 c,,0.215,2.50856,,,,,2015,12/7/15,,,801,,Submitted to a professional journal,Primary Transit,,,,K2-8,169.7936667,-0.284388895,14.384,,-0.01,0.79,0.74,,,4890
EPIC 201505350 d,,0.102,2.50856,,,,,2015,12/4/15,,,1252,,Submitted to a professional journal,Primary Transit,,Primary Transit,,K2-19,174.9603334,0.603583348,12.806,291,0.1,0.93,0.86,G9V,8,5430
EPIC 201637175 b,1.4,0.25,0.381071,0.0088,,,,2015,7/27/15,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,EPIC 201637175 ,169.4833334,2.618611125,17,225,0.03,0.6,0.57,M0V,,3830
EPIC 203771098 b,0.0661,0.52,20.8851,0.154,,89.25,,2015,12/7/15,,,709,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,EPIC 203771098,242.575,-24.9902778,11.648,181,0.42,1.12,1.21,G9V,5,5743
EPIC 203771098 c,0.085,0.723,42.36342,0.247,,89.76,,2015,12/7/15,,,560,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,EPIC 203771098,242.575,-24.9902778,11.648,181,0.42,1.12,1.21,G9V,5,5743
EPIC 211089792 b,0.73,1.19,3.2588321,0.04217,0.066,86.656,,2016,1/29/16,132,,1171,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,EPIC 211089792,62.67083335,24.40194445,,,,,,G7V,,
EPIC 318 b,0.623,1.196,4.098507,0.04986,0.027,86.32,,2016,1/29/16,120,,1185,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,EPIC 318,52.34166667,22.29944446,13.5,323,0.136,0.984,0.941,G8,,5581
EPIC 388 b,1.76,1.35,2.995607,0.04419,0,82.06,,2016,1/29/16,,,1742,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,EPIC 388,127.5791667,22.23583334,11.5,377,0.24,1.281,1.526,F9,,6132
EPIC-206011691 b,,0.142,9.32414,0.0731,,88.3,,2015,8/28/15,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,EPIC-206011691,340.3037083,-14.48898613,12.85,65,-0.11,0.64,0.6,M0,,4043
EPIC-206011691 c,,0.171,15.5012,0.1026,,89.08,,2015,8/28/15,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,EPIC-206011691,340.3037083,-14.48898613,12.85,65,-0.11,0.64,0.6,M0,,4043
EPIC-210490365 b,,0.306,3.484552,,0.27,88.32,,2015,12/10/15,62.1,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,EPIC-210490365,63.275,15.24777779,15.88,45.7,0.15,0.294,0.295,M4.5,,3180
FU Tau b,15,,,800,,,5.714286,2009,9/19/11,,,,,Published in a refereed paper,Imaging,,,,FU Tau,65.8958333,25.0508333,,140,,0.05,,M7.25,0.001,2838
FW Tau b,10,,,330,,,,2013,12/2/13,,,,,Published in a refereed paper,Imaging,,,,FW Tau,67.37500001,26.28138891,15.5,145,,0.26,,M4,0.0018,3270
Fomalhaut b,3,,320000,115,0.11,,14.92731,2008,5/22/14,,,,,Published in a refereed paper,Imaging,,,,Fomalhaut,344.4125,-29.6222222,1.16,7.704,,1.92,1.842,A3 V,0.44,8590
GJ 1132 b,0.0051,0.103,1.62893,0.0154,0,,,2015,11/12/15,,,580,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,GJ 1132,153.7166667,-47.15666668,13.5,12.04,-0.12,0.181,0.207,M3.5,5,3270
GJ 1214 b,0.020325331,0.23820187,1.58040482,0.01411,0.27,88.17,0.001077,2009,5/21/14,,,,,Published in a refereed paper,Primary Transit,,,,GJ 1214,258.8291667,4.9638889,14.71,13,0.39,0.15,0.216,M,6,3026
GJ 160.2 b,0.032092628,,5.2354,0.053,0.06,,,2014,5/25/14,355.23,,,,Published in a refereed paper,Radial Velocity,,,,GJ 160.2,61.64517234,-19.14687801,9.675,,,0.69,,M0V,,4347
GJ 176 b,0.0265,,8.7836,0.066,0,,0.007006,2007,12/17/10,,,,,Submitted to a professional journal,Radial Velocity,,,,GJ 176,70.7333333,18.9580556,9.97,9.42,-0.1,0.49,0.53,M2.5V,,
GJ 180 b,0.02611459,,17.38,0.103,0.11,,,2014,5/25/14,11.46,,,,Published in a refereed paper,Radial Velocity,,,,GJ 180,73.45824902,-17.77341391,10.894,,,0.43,,M2V,,3371
GJ 180 c,0.020136551,,24.329,0.129,0.09,,,2014,5/25/14,234.91,,,,Published in a refereed paper,Radial Velocity,,,,GJ 180,73.45824902,-17.77341391,10.894,,,0.43,,M2V,,3371
GJ 221  BD-061339 d,0.091,,500,1.06,0.04,,,2014,8/29/15,275,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,BD-061339,88.25,-5.9947,6.69,20,-0.14,0.7,,K7V/M0V,4.4,4324
